,en,ru,zh
RB_LOAD_TARGET_LOCAL,Continue local game,Продолжить локальную игру,
RB_LOAD_TARGET_NETWORK,Continue network game,Продолжить сетевую игру,
RB_PROFILE_GENDER_FEMALE,Female,Женский,
RB_PROFILE_GENDER_MALE,Male,Мужской,
RB_PROFILE_GENDER_UNSPECIFIED,Unspecified,Не указан,
RB_SHOW_MOVES_ALL,All,Все,
RB_SHOW_MOVES_ENEMY,Only opponent,Только противника,
RB_SHOW_MOVES_MYSELF,Only myself,Только свои,
RB_SHOW_MOVES_NONE,Not show,Не показывать,
RB_SOUND_MUSIC_INORDER,In order,По порядку,
RB_SOUND_MUSIC_RANDOMIZE,Randomize,Случайно,
RB_STYLES_GRID_BLACK,Black,Чёрный,
RB_STYLES_GRID_WHITE,White,Белый,
RB_UI_ASPECT_COLORLESS,Darkness,Тьма,黑暗
RB_UI_ASPECT_GODS_PURITY,Purity,Чистота,純度
RB_UI_ASPECT_GODS_RAPTURE,Rapture,Восторг,歡天喜地
RB_UI_ASPECT_GODS_WEALTH,Wealth,Богатство,財富
RB_UI_ASPECT_SINNERS_DESPAIR,Despair,Отчаяние,絕望
RB_UI_ASPECT_SINNERS_FIRE,Fire,Огонь,火
RB_UI_ASPECT_SINNERS_PAIN,Pain,Боль,痛
RB_UI_LANGUAGE_CHINESE,Chinese,Китайский,
RB_UI_LANGUAGE_ENGLISH,English,Английский,
RB_UI_LANGUAGE_JAPANESE,Japanese,Японский,
RB_UI_LANGUAGE_RUSSIAN,Russian,Русский,
SD_GAME_GRID_THICKNESS_BOLD,Bold,Жирная,
SD_GAME_GRID_THICKNESS_SEMIBOLD,Semibold,Полужирная,
SD_GAME_GRID_THICKNESS_STANDART,Standart,Стандартная,
SD_GAME_GRID_THICKNESS_THIN,Thin,Тонкая,
SD_GAME_GRID_THICKNESS_VERY_THIN,Very Thin,Очень тонкая,
SH_CAMERA_MODE,Camera mode,Режим камеры,
SH_CAMERA_MODE_FIXED,Fixed camera settings,Настройки фиксированной камеры,
SH_CAMERA_MODE_FLY,Flying settings,Настройки полёта,
SH_CAMERA_MODE_WALK,Walking settings,Настройки ходьбы,
SH_CLOCK_FORMAT,Time format,Формат времени,
SH_ENGINE_EXE,Engine executable:,Исполняемый файл:,
SH_ENGINE_FOLDER,Engine folder:,Папка движка:,
SH_GAME_AI,Artifical Intelligence,Искусственный Интеллект,
SH_GAME_ANIMATIONS,Animations,Анимации,
SH_GAME_HANDICAP,Handicap settings,Настройки гандикапа,
SH_GAME_SETTINGS,Game settings,Настройки игры,
SH_GAME_TIMECONTROL,Time control,Контроль времени,
SH_GAME_TYPE,Game type,Тип игры,
SH_GAME_UNRATED_TIMECONTROL,Time control (unrated),Контроль времени (без рейтинга),
SH_HISTORY_NOTATION,Notation style,Стиль нотации,
SH_HISTORY_PANEL_STYLE,Panel style,Стиль панели,
SH_HISTORY_PLAYBACK,Playback,Воспроизведение,
SH_HISTORY_SYMBOLS,Symbols language,Язык символов,人物語言
SH_HOTKEYS,Hotkeys,Горячие клавиши,
SH_INFO,Information,Информация,
SH_LOAD,Load options,Настройки загрузки,
SH_LOAD_METHOD,Load method,Метод загрузки,
SH_LOAD_TARGET,Load target,Цель загрузки,
SH_MASTER_ADDRESS,Master list address,Адрес мастер-сервера,
SH_MISC,Miscellaneous,Разное,杂
SH_NETWORK,Network settings,Настройки сети,
SH_PROFILE,Profile,Профиль,
SH_PROFILE_UNNECESSARY,Optional info,Необязательные сведения,
SH_REPLAYS,Replays,Повторы игр,
SH_SANSARA_ORDER,Switch order,Порядок переключения,
SH_SFX_MUSIC,Music,Музыка,
SH_SFX_SPEECH,Speech,Комментирование,
SH_STYLES_BOARD,Board settings,Настройки доски,
SH_STYLES_GRID,Grid settings,Настройки сетки,
SH_STYLES_GRID_COLOR,Grid color,Цвет сетки,
SH_UI_ASPECT,Aspect,Аспект,方面
SH_UI_FONTS,Font,Шрифт,字形
SH_UI_LANGUAGE,Language,Язык,語
SH_UI_STYLE,Style,Стиль,
SH_UI_THEME,Theme,Тема,
SH_UI_TIPS,Tips,Подсказки,
SH_WIDGETS,Widgets,Виджеты,
SLIDERVAL_HIGH,High,Высокая,
SLIDERVAL_IMMEDIATE,Immediate(without animation),Мгновенная(без анимации),
SLIDERVAL_MEDIUM,Medium,Средняя,
SLIDERVAL_SLOW,Slow,Медленная,
TEMP_EMPTY,<Empty>,<Empty>,
TIME_SECONDS_FULL,seconds,секунд,
TIME_SECONDS_SHORT,sec.,сек.,
TITLE_ACTION_CONFIRMATION,Select action,Выберите действие,
TITLE_AI_GAME,Versus AI,Игра с AI,
TITLE_AVATAR,Choose your avatar,Выберите свой аватар,
TITLE_COLOR_SELECTION,Choose color,Выберите цвет,
TITLE_COUNTRY,Choose your country,Выберите вашу страну,
TITLE_CREATE_NEW_PROFILE,Creating new profile,Создание нового профиля,
TITLE_GAME_CREATION,New game setup,Настройка новой игры,
TITLE_HOST,Server creation,Создание сервера,
TITLE_HOST_GAME,Network game,Игра по сети,
TITLE_JOIN,Join,Присоединение к IP,
TITLE_JOIN_LIST,Game list,Список игр,
TITLE_LIBRARY,Replays,Повторы,
TITLE_LOADGAME,Load game,Загрузка игры,
TITLE_LOADING,Loading,Загрузка,
TITLE_LOCAL_GAME,Local game,Локальная игра,
TITLE_MAIN_SERVER,Main Server,Главный Сервер,
TITLE_MP_RULES,Server rules,Правила сервера,
TITLE_PROFILE_CONFIRMATION,Profile confirmation,Подтверждение профиля,
TITLE_PROFILE_VIEW,Your profile,Ваш профиль,
TITLE_SETTINGS,Settings,Настройки,
TT_AUTOMOVE,"If piece have only one move, it will use this move,
when you click on it, recommended for advanced players to decrease time consumption.","Если у фигуры есть один единственный ход, она использует его,
при одном клике на ней, рекомендуется опытным игрокам для экономии времени.",
TT_AUTOPROMOTE,"Enables auto promotion for some types of pieces in shogi.
This is Pawn, Bishop and Rook, (and also Lance on pre-last horizontal) 
for these pieces promotion is desirable in 99% cases,
if you dont want to see a promotion dialog for these pieces enable this option.
(1% includes difficult stalemate positions where
pawn drop restiction ""on king head"" should be avoidable)","Включает автопревращение некоторых видов фигур в обычных сёгах.
Это Пешка, Слон и Ладья(а также Копьё на предпоследней горизонтали) 
для которых оно в 99% случаев оправдано.
Если вам не хочется видеть диалог превращения для этих фигур отметьте эту галочку.
(1% включает сложные матовые комбинации,
когда нужно обойти запрет сброса пешки ""на голову"" короля)",
TT_CASTLINGS,"When a castle is formed, the popup will show and board will highlight it.
The full list of castles can be found in Library/Castles/Shogi.
You can create own castle formation within Board Editor, accessed through Library screen.","Когда замок сформирован, появится информационное окно и доска подсветит его.
Полный список замков может быть найден в папке Library/Castles/Shogi.
Вы можете создать собственный замок через Редактор Доски, доступный через экран Библиотеки.",
TT_HIDE_PANEL,Hide panel,Скрыть панель,
TT_HISTORY_SETTINGS,History settings,Настройки истории,
TT_NOT_AVAILABLE,Not yet available,Пока не доступно,
UI_THEME_DARK,Dark theme,Тёмная тема,
UI_THEME_LIGHT,Light theme,Светлая тема,
UI_THEME_REALM_OF_ANIMALS,Realm of animals,Мир животных,畜生道
UI_THEME_REALM_OF_GHOSTS,Realm of ghosts,Мир призраков,餓鬼道
UI_THEME_REALM_OF_GODS,Realm of gods,Мир богов,天道
UI_THEME_REALM_OF_HUMANS,Realm of humans,Мир людей,人道
UI_THEME_REALM_OF_SINNERS,Realm of sinners,Мир грешников,地獄道
UI_THEME_REALM_OF_TITANS,Realm of titans,Мир полубогов,阿修羅道
TITLE_SELECT_COUNTRY,Country selection,Выбор страны,
LABEL_POINTS,Points:,Очки:,
LABEL_RANK,Rank:,Ранг:,
LABEL_PLAYER_INFO,Players info,Информация об игроках,
LABEL_GAME_INFO,Game info,Информация об игре,
RB_HISTORY_PLAYBACK_FROM_REPLAY,From replay(if possible),Из повтора(если возможно),
RB_HISTORY_PLAYBACK_FIXED,Fixed,Фиксированное,
DESC_HISTORY_PLAYBACK_DURATION,Pause length,Длина паузы,
RB_RATED_GAME,Rated game,Рейтинговая игра,
RB_UNRATED_GAME,Unrated game,Обычная игра,
RB_PRIVATE_GAME,Private game,Приватная игра,
MP_DECLINE_GAME_NOT_STARTED,"Action is impossible. 
Game is not yet started !","Действие невозможно. 
Игра еще не началась.",
MP_DECLINE_GAME_IS_DONE,"Action is impossible. 
Game is already done !","Действие невозможно. 
Игра уже завершилась !",
MP_JOINING,Player wants to join !,Игрок хочет присоединиться !,
MP_ACCEPT,Accept ?,Принять ?,
MP_AWAIT_PERMISSION,Awaiting other player permission...,Ожидание разрешения другого игрока...,
MP_ALREADY_LOGON,You have already been entered !,Вы уже вошли на сервер !,
LABEL_PASSWORD,Password:,Пароль:,
LABEL_PASSWORD_EMPTY,Password cannot be empty for private game !,Пароль не может быть пустым для приватной игры !,
MP_PASSWORD_ENTER_DESC,"This game is private.
Enter a password to continue.","Это приватная игра.
Для продолжения введите пароль.",
MP_INCORRECT_PASSWORD,Password is incorrect.,Пароль неправильный.,
MP_DESC_PROTECTED,This game is private and protected by password,Эта игра приватная и защищена паролем.,
MP_DESC_GAME_TYPE,Game type:,Тип игры:,
MP_DESC_GAME,Game:,Игра:,
BTN_ACCOUNT,Your profile,Ваш профиль,
MP_PLAYER_INFO,Player information,Информация об игроке,
LABEL_PLAYER_NAME,Name:,Имя:,
LABEL_WINS,Wins:,Победы:,
LABEL_LOSES,Loses:,Поражения:,
LABEL_DRAWS,Draws:,Ничьи:,
BTN_CHANGE_PASSWORD,Change password,Изменить пароль,
TITLE_CHANGE_PASSWORD,Changing password,Изменение пароля,
TITLE_DELETE_ACCOUNT,Account removal,Удаление аккаунта,
DESC_CHANGE_PASSWORD,"For security reasons you need to re-enter old password","В целях безопасности вам нужно ввести старый пароль",
DESC_CHANGE_PASSWORD2,"For security reasons you need to re-enter password","В целях безопасности вам нужно ввести пароль",
LABEL_OLD_PASSWORD,Old password:,Старый пароль:,
LABEL_NEW_PASSWORD,New password:,Новый пароль:,
BTN_CHANGE,Change,Изменить,
BTN_ADD_TO_FRIENDS,Add to friends,Добавить в друзья,
BTN_REMOVE_FROM_FRIENDS,Remove from friends,Удалить из друзей,
BTN_ADD_TO_IGNORED,Add to ignored,Добавить в игнор,
BTN_REMOVE_FROM_IGNORED,Remove from ignored,Удалить из игнора,
BTN_GAMES_HISTORY,Games history,История игр,
LABEL_USERNAME_WAS_CHANGED,Username was successfully changed,Имя игрока было успешно изменено,
LABEL_PASSWORD_WAS_CHANGED,Password was successfully changed,Пароль был успешно изменен,
LABEL_OLD_PASSWORD_WAS_INCORRECT,Error : Password is incorrect.,Ошибка : Неправильный пароль.,
MP_NAME_MALFORMED,Name is malformed,Имя неправильно составлено,
MP_NAME_MALFORMED_DESC," - Name must contains minimum 3 symbols (and maximum 12)
 - Name cannot contains spaces or special symbols
 - Name must contains only english letters and numbers"," - Имя должно содержать минимум 3 символа (максимум 12)
 - Имя не может содержать пробелы и специальные символы
 - Имя должно содержать только английские буквы или цифры",
MP_PASSWORD_MALFORMED,Password is malformed,Пароль неправильно составлен,
MP_PASSWORD_MALFORMED_DESC," - Password must contains minimum 3 symbols (and maximum 20)
 - Password cannot contains spaces"," - Пароль должен содержать минимум 3 символа (максимум 20)
 - Пароль не может содержать пробелов",
BTN_DELETE_ACCOUNT,Delete account,Удалить аккаунт,
LABEL_YOUR_ACCOUNT_WAS_DELETED,Your account has been successfully deleted.,Ваш аккаунт был успешно удалён.,
LABEL_USER_NOT_FOUND,Error: User not found.,Ошибка: Пользователь не найден.,
BTN_CHANGE_PUBLIC_DATA,Change public info,Изменить публичные сведения,
TITLE_PUBLIC_DATA,Changing public data,Изменение публичных сведений,
LABEL_EXTRA_DATA,Extra data,Дополнительные сведения,
BTN_APPLY,Apply changes,Применить изменения,
LABEL_VISITS,Visit count:,Число посещений:,
LABEL_STATS,Statistic:,Статистика:,
LABEL_WINS2,Win count,Число побед,
LABEL_DRAWS2,Draw count,Число ничьих,
LABEL_LOSES2,Lose count,Число поражений,
MP_PLAYER_DECLINE,Game creator is declined your joining request,Создатель игры отклонил ваш запрос присоединения,
MP_OTHER_CONNECTION_EXIST,"Other player is already tries to connect to this game. 
Try again later.","Другой игрок уже пытается присоединиться к этой игре.
Попробуйте позже",
